clase;edx.forum.response.created;edx.forum.thread.created;load_video;openassessment.upload_file;pause_video;play_video;problem_check;problem_graded;problem_show;seek_video;seq_goto;seq_next;seq_prev;stop_video
T;0;0;8;0;0;12;66;66;7;10;5;2;0;0
T;0;0;14;0;9;99;39;39;7;86;6;1;5;2
F;0;0;5;0;13;528;6;6;1;29;7;0;0;0
F;0;0;0;0;0;0;0;0;0;0;15;0;0;0
T;1;0;5;0;0;2;52;48;2;0;12;20;4;0
F;0;0;0;0;0;0;0;0;0;0;0;0;0;0
T;0;1;2;1;2;4;13;13;1;1;0;3;0;1
F;0;0;7;0;7;28;13;13;1;21;1;9;7;1
F;0;0;0;0;0;0;58;25;8;0;12;4;0;0
F;0;0;0;0;0;0;0;0;0;0;0;0;0;0
T;0;0;8;1;11;50;44;45;2;8;13;6;1;1
T;0;0;13;7;5;73;67;67;8;32;4;20;10;3
F;0;1;0;0;0;0;4;4;3;0;6;0;0;0
F;0;0;2;0;2;6;0;0;0;2;0;1;0;0
F;0;0;4;0;16;22;3;3;0;6;0;1;1;1
T;0;0;2;1;0;0;24;20;0;0;2;3;0;0
T;0;0;15;1;14;197;45;45;1;26;48;5;1;8
T;0;0;10;0;2;116;8;8;0;100;12;0;0;1
