edx.forum.response.created;edx.forum.thread.created;load_video;openassessment.upload_file;pause_video;play_video;problem_check;problem_graded;problem_show;seek_video;seq_goto;seq_next;seq_prev;stop_video
0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;2;2;0;0;5;0;0;0
1;0;1;0;0;0;10;10;2;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;4;0;9;14;33;33;1;4;17;1;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;1;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;0;9;0;2;7;8;8;1;3;12;1;0;2
0;0;15;4;9;21;24;24;3;11;20;4;2;7
1;0;1;0;0;0;9;9;3;0;0;0;0;0
2;0;41;0;69;1108;59;59;0;87;27;10;7;24
0;0;0;0;0;0;11;11;1;0;0;0;0;0
3;0;26;2;135;195;41;41;0;58;30;20;6;5
1;0;1;0;1;1;15;15;6;1;8;1;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;1;1;0;0;0;0;0;0
0;0;1;0;1;1;7;7;1;0;0;6;1;1
2;0;11;1;2;7;10;10;5;2;22;4;3;1
0;0;17;0;12;35;17;17;1;19;13;1;0;1
0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;4;4;2;0;4;0;0;0
0;0;2;0;2;12;24;24;3;10;11;0;0;2
0;0;8;0;4;10;28;28;3;0;6;5;0;0
0;0;12;0;6;20;13;13;2;7;10;0;0;3
1;0;0;0;0;0;2;2;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;3;3;0;0;0;0;0;0
1;0;2;1;2;2;9;9;4;0;1;0;0;2
0;0;0;0;0;0;6;6;0;0;1;0;0;0
0;0;0;1;0;0;8;8;1;0;1;2;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;0;1;1;1;2;18;18;5;0;2;2;0;0
2;2;8;2;5;10;14;14;7;1;76;3;4;2
1;0;15;0;9;27;26;26;7;5;5;3;1;6
0;0;0;0;0;0;2;2;0;0;0;0;0;0
0;0;0;0;0;0;3;3;0;0;0;4;1;0
2;0;9;2;11;22;39;39;7;10;23;3;1;7
1;0;5;0;1;4;7;7;7;0;3;2;0;0
0;0;11;0;24;38;10;10;4;12;10;1;1;4
0;0;2;0;1;8;9;9;2;7;1;1;0;1
0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;1;6;0;8;40;23;23;6;31;27;1;1;2
1;1;3;0;1;3;16;16;2;0;0;0;0;1
0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;3;0;0;0;8;8;0;0;14;0;0;0
0;0;1;0;2;3;8;8;5;1;1;1;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;12;1;5;21;7;7;2;7;3;2;1;3
0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;1;1;0;0;0;0;0;0
0;0;1;0;0;0;7;7;1;0;4;0;0;0
0;0;19;0;77;475;29;29;3;129;0;2;0;9
0;1;12;0;16;42;14;14;6;26;15;0;0;5
0;0;6;0;10;12;5;5;1;0;3;4;4;2
0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;9;9;0;0;0;2;0;0
1;3;9;1;22;33;27;27;1;7;15;0;0;2
0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;1;10;1;11;42;29;29;6;16;8;5;2;5
0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;7;0;11;1046;5;5;3;32;7;2;0;2
0;0;4;0;2;8;2;2;0;5;2;0;0;1
1;0;2;0;1;4;19;19;1;4;0;1;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;8;8;2;0;7;0;0;0
0;0;0;0;0;0;6;6;0;0;0;0;0;0
1;0;0;0;0;0;31;31;2;0;9;0;0;0
2;0;6;1;0;0;6;6;0;0;15;2;0;0
0;0;6;0;2;3;20;20;4;4;3;3;0;1
0;0;0;0;0;0;1;1;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;8;0;4;14;31;31;0;7;26;3;3;2
0;0;4;0;2;4;4;4;1;1;1;0;0;0
0;2;34;0;155;277;7;7;0;37;59;7;3;7
0;0;4;0;2;4;29;29;0;1;5;0;0;2
0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;7;1;8;10;30;30;1;12;15;1;0;3
0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;0;22;2;27;47;29;29;2;3;35;3;0;5
0;0;26;0;20;46;21;21;2;21;45;0;0;7
1;0;16;0;64;9196;28;28;1;52;8;11;3;1
0;0;17;0;42;90;18;18;0;18;23;11;2;2
0;0;5;1;5;4;23;23;8;0;0;14;5;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;1;24;0;14;1020;22;22;4;28;14;2;2;3
0;1;6;0;0;0;1;1;1;1;59;13;0;0
1;0;3;0;0;0;6;6;0;0;12;1;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;0;0;0;0;0;29;29;8;0;29;3;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;1;0;2;2;5;5;0;0;3;2;1;1
0;0;0;1;0;0;9;9;2;0;24;2;0;0
0;0;4;0;2;4;29;29;2;0;0;2;0;2
0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;9;0;10;12;7;7;1;0;17;0;0;1
1;0;6;0;6;11;17;17;6;1;0;0;0;2
0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;1;0;0;0;9;9;1;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;1;0;0;1;1;1;1;0;8;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;11;11;0;0;2;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0
